id,source,target,distance
0,0,7,98.8397
1,0,11,171.8573
2,1,7,176.9451
3,1,19,142.9625
4,1,24,177.1289
5,1,42,143.3445
6,1,55,179.2041
7,2,8,136.7085
8,2,10,168.7080
9,2,20,68.8387
10,2,21,150.4573
11,2,32,65.2888
12,2,34,62.6438
13,2,56,46.4478
14,3,5,187.9390
15,3,11,147.7922
16,3,12,173.4590
17,3,14,177.3115
18,3,19,84.1744
19,3,24,81.5623
20,3,42,63.3065
21,3,45,126.5909
22,3,47,166.1254
23,3,55,70.3869
24,4,9,182.6641
25,4,12,60.8732
26,4,14,159.5807
27,4,17,189.9959
28,4,18,132.5200
29,4,26,114.4134
30,4,27,137.6676
31,4,35,124.0003
32,4,52,193.0461
33,4,59,94.9692
34,5,3,187.9390
35,5,11,187.7516
36,5,14,111.3785
37,5,22,130.6911
38,5,24,194.8792
39,5,30,91.8556
40,5,45,133.0962
41,5,50,138.6154
42,5,55,191.1383
43,6,26,197.6498
44,6,43,98.9206
45,6,49,95.1938
46,6,57,172.7255
47,7,0,98.8397
48,7,1,176.9451
49,7,11,172.0898
50,7,19,184.7435
51,7,24,193.9930
52,8,2,136.7085
53,8,10,114.1749
54,8,20,187.8762
55,8,21,15.2476
56,8,32,164.5313
57,8,34,151.5196
58,8,40,193.8275
59,8,56,130.6695
60,9,4,182.6641
61,9,17,45.4305
62,9,26,106.7391
63,9,27,185.6031
64,9,35,58.9875
65,9,53,180.6025
66,9,59,168.4533
67,10,2,168.7080
68,10,8,114.1749
69,10,16,178.5466
70,10,20,178.6109
71,10,21,109.6473
72,10,32,148.5168
73,10,40,82.6479
74,10,56,193.0004
75,11,0,171.8573
76,11,3,147.7922
77,11,5,187.7516
78,11,7,172.0898
79,11,19,99.7101
80,11,22,149.5874
81,11,24,72.7381
82,11,42,125.1937
83,11,45,55.7826
84,11,55,81.9155
85,12,3,173.4590
86,12,4,60.8732
87,12,14,137.4900
88,12,18,112.6670
89,12,26,165.9734
90,12,27,174.2094
91,12,35,184.7663
92,12,47,157.0005
93,12,59,127.1429
94,13,23,38.4697
95,13,27,195.5243
96,13,39,61.5512
97,13,41,24.5529
98,13,52,140.8248
99,13,58,186.8745
100,14,3,177.3115
101,14,4,159.5807
102,14,5,111.3785
103,14,12,137.4900
104,14,26,183.6893
105,14,30,97.6606
106,14,45,199.9089
107,14,59,121.1874
108,15,37,142.4641
109,15,48,140.0036
110,15,51,126.6946
111,16,10,178.5466
112,16,33,73.3498
113,16,40,170.4097
114,16,48,177.0506
115,16,51,170.2934
116,17,4,189.9959
117,17,9,45.4305
118,17,26,139.3861
119,17,27,159.1191
120,17,35,72.7804
121,17,53,177.1600
122,17,59,197.1203
123,18,4,132.5200
124,18,12,112.6670
125,18,27,133.9690
126,18,47,94.9295
127,18,52,139.8954
128,19,1,142.9625
129,19,3,84.1744
130,19,7,184.7435
131,19,11,99.7101
132,19,24,35.2869
133,19,42,29.8293
134,19,45,114.4897
135,19,55,36.2560
136,20,2,68.8387
137,20,8,187.8762
138,20,10,178.6109
139,20,21,199.2154
140,20,32,30.0942
141,20,34,123.4733
142,20,40,187.9741
143,20,56,113.2825
144,20,57,150.5715
145,21,2,150.4573
146,21,8,15.2476
147,21,10,109.6473
148,21,20,199.2154
149,21,31,197.3368
150,21,32,174.7846
151,21,34,166.7534
152,21,40,191.1167
153,21,56,145.8116
154,22,5,130.6911
155,22,11,149.5874
156,22,37,98.7142
157,22,45,124.7273
158,22,50,89.6473
159,23,13,38.4697
160,23,39,98.8862
161,23,41,62.2861
162,23,52,178.2507
163,23,58,194.2728
164,24,1,177.1289
165,24,3,81.5623
166,24,5,194.8792
167,24,7,193.9930
168,24,11,72.7381
169,24,19,35.2869
170,24,42,53.8807
171,24,45,79.3220
172,24,55,11.2075
173,25,28,168.8701
174,25,29,46.9092
175,25,36,156.3739
176,25,43,163.1818
177,25,49,147.4503
178,26,4,114.4134
179,26,6,197.6498
180,26,9,106.7391
181,26,12,165.9734
182,26,14,183.6893
183,26,17,139.3861
184,26,27,196.6775
185,26,35,72.9186
186,26,59,62.6643
187,27,4,137.6676
188,27,9,185.6031
189,27,12,174.2094
190,27,13,195.5243
191,27,17,159.1191
192,27,18,133.9690
193,27,26,196.6775
194,27,35,144.5664
195,27,39,137.3126
196,27,41,172.6523
197,27,52,66.5077
198,28,25,168.8701
199,28,36,194.0865
200,28,44,155.9350
201,28,46,70.7430
202,29,25,46.9092
203,29,36,175.7135
204,29,43,120.3143
205,29,49,118.3492
206,30,5,91.8556
207,30,14,97.6606
208,30,50,177.8297
209,30,59,176.3762
210,31,21,197.3368
211,31,38,121.8525
212,31,54,148.3400
213,32,2,65.2888
214,32,8,164.5313
215,32,10,148.5168
216,32,20,30.0942
217,32,21,174.7846
218,32,34,126.9112
219,32,40,161.4530
220,32,56,111.6725
221,32,57,158.3069
222,33,16,73.3498
223,33,48,115.7434
224,33,51,126.5229
225,33,54,164.0643
226,34,2,62.6438
227,34,8,151.5196
228,34,20,123.4733
229,34,21,166.7534
230,34,32,126.9112
231,34,56,23.6823
232,35,4,124.0003
233,35,9,58.9875
234,35,12,184.7663
235,35,17,72.7804
236,35,26,72.9186
237,35,27,144.5664
238,35,59,125.6054
239,36,25,156.3739
240,36,28,194.0865
241,36,29,175.7135
242,36,44,88.2130
243,36,46,166.3132
244,36,49,158.1011
245,36,57,184.7937
246,37,15,142.4641
247,37,22,98.7142
248,37,48,185.2970
249,37,50,113.2455
250,37,51,137.0564
251,38,31,121.8525
252,38,54,98.1815
253,39,13,61.5512
254,39,23,98.8862
255,39,27,137.3126
256,39,41,44.0253
257,39,52,79.3930
258,40,8,193.8275
259,40,10,82.6479
260,40,16,170.4097
261,40,20,187.9741
262,40,21,191.1167
263,40,32,161.4530
264,41,13,24.5529
265,41,23,62.2861
266,41,27,172.6523
267,41,39,44.0253
268,41,52,120.9923
269,41,58,178.5792
270,42,1,143.3445
271,42,3,63.3065
272,42,11,125.1937
273,42,19,29.8293
274,42,24,53.8807
275,42,45,130.0729
276,42,47,187.4430
277,42,55,48.3131
278,43,6,98.9206
279,43,25,163.1818
280,43,29,120.3143
281,43,49,65.7094
282,44,28,155.9350
283,44,36,88.2130
284,44,46,101.4705
285,45,3,126.5909
286,45,5,133.0962
287,45,11,55.7826
288,45,14,199.9089
289,45,19,114.4897
290,45,22,124.7273
291,45,24,79.3220
292,45,42,130.0729
293,45,55,81.9663
294,46,28,70.7430
295,46,36,166.3132
296,46,44,101.4705
297,47,3,166.1254
298,47,12,157.0005
299,47,18,94.9295
300,47,42,187.4430
301,48,15,140.0036
302,48,16,177.0506
303,48,33,115.7434
304,48,37,185.2970
305,48,51,50.5480
306,49,6,95.1938
307,49,25,147.4503
308,49,29,118.3492
309,49,36,158.1011
310,49,43,65.7094
311,49,57,183.1996
312,50,5,138.6154
313,50,22,89.6473
314,50,30,177.8297
315,50,37,113.2455
316,50,51,191.2252
317,51,15,126.6946
318,51,16,170.2934
319,51,33,126.5229
320,51,37,137.0564
321,51,48,50.5480
322,51,50,191.2252
323,52,4,193.0461
324,52,13,140.8248
325,52,18,139.8954
326,52,23,178.2507
327,52,27,66.5077
328,52,39,79.3930
329,52,41,120.9923
330,53,9,180.6025
331,53,17,177.1600
332,54,31,148.3400
333,54,33,164.0643
334,54,38,98.1815
335,55,1,179.2041
336,55,3,70.3869
337,55,5,191.1383
338,55,11,81.9155
339,55,19,36.2560
340,55,24,11.2075
341,55,42,48.3131
342,55,45,81.9663
343,56,2,46.4478
344,56,8,130.6695
345,56,10,193.0004
346,56,20,113.2825
347,56,21,145.8116
348,56,32,111.6725
349,56,34,23.6823
350,57,6,172.7255
351,57,20,150.5715
352,57,32,158.3069
353,57,36,184.7937
354,57,49,183.1996
355,58,13,186.8745
356,58,23,194.2728
357,58,41,178.5792
358,59,4,94.9692
359,59,9,168.4533
360,59,12,127.1429
