id,source,target,distance
0,0,4,193.0437
1,0,8,163.9924
2,0,18,169.5879
3,0,48,109.1564
4,0,49,48.2013
5,1,2,170.1306
6,1,6,88.7135
7,1,33,71.8966
8,1,37,25.4028
9,1,41,186.6129
10,1,42,105.9552
11,1,59,141.1178
12,2,1,170.1306
13,2,37,186.9943
14,2,52,145.0950
15,2,59,185.3101
16,3,17,129.3038
17,3,22,94.6361
18,3,38,184.2238
19,3,39,162.9504
20,3,46,78.4715
21,3,55,13.7438
22,3,58,63.0251
23,4,0,193.0437
24,4,5,77.8079
25,4,8,75.2709
26,4,18,46.0718
27,4,26,187.5740
28,4,49,150.5265
29,5,4,77.8079
30,5,8,69.4676
31,5,18,65.4732
32,5,26,139.5806
33,5,49,199.3513
34,6,1,88.7135
35,6,33,29.1032
36,6,37,107.6414
37,6,42,169.9030
38,6,52,199.8293
39,6,53,197.9399
40,7,27,56.9844
41,7,38,94.1179
42,7,43,194.8725
43,7,57,101.3301
44,8,0,163.9924
45,8,4,75.2709
46,8,5,69.4676
47,8,18,29.3833
48,8,26,115.0763
49,8,49,135.7974
50,9,10,85.4590
51,9,15,100.2494
52,9,19,162.5204
53,9,20,125.7175
54,10,9,85.4590
55,10,15,166.2498
56,10,20,191.1352
57,10,48,182.1762
58,11,14,77.1213
59,11,23,108.4260
60,11,31,97.0486
61,11,36,167.9946
62,11,41,142.2937
63,11,59,130.6513
64,12,16,139.4252
65,12,19,173.6570
66,12,28,68.3284
67,12,34,98.1839
68,12,35,118.4464
69,13,29,25.2907
70,13,44,104.6672
71,13,53,134.8275
72,14,11,77.1213
73,14,23,153.5254
74,14,26,132.8992
75,14,31,169.8826
76,14,36,103.3311
77,14,59,179.7386
78,15,9,100.2494
79,15,10,166.2498
80,15,16,109.6590
81,15,19,62.5822
82,15,20,25.7041
83,15,28,167.9646
84,15,35,130.2902
85,16,12,139.4252
86,16,15,109.6590
87,16,19,56.0011
88,16,20,86.4767
89,16,28,75.1828
90,16,35,21.9294
91,17,3,129.3038
92,17,22,152.0774
93,17,39,38.6624
94,17,45,112.8840
95,17,46,107.2585
96,17,50,130.5417
97,17,51,187.2768
98,17,55,138.0071
99,17,56,170.4790
100,17,58,121.9611
101,18,0,169.5879
102,18,4,46.0718
103,18,5,65.4732
104,18,8,29.3833
105,18,26,143.6580
106,18,49,134.3321
107,19,9,162.5204
108,19,12,173.6570
109,19,15,62.5822
110,19,16,56.0011
111,19,20,36.8916
112,19,28,105.3962
113,19,35,73.0885
114,20,9,125.7175
115,20,10,191.1352
116,20,15,25.7041
117,20,16,86.4767
118,20,19,36.8916
119,20,28,142.2866
120,20,35,106.3082
121,21,24,153.9939
122,21,25,159.2253
123,21,30,199.9212
124,21,45,107.0266
125,21,51,38.4087
126,21,56,134.0016
127,22,3,94.6361
128,22,17,152.0774
129,22,30,162.7764
130,22,38,124.5723
131,22,39,190.6340
132,22,46,44.8680
133,22,55,106.6525
134,22,58,37.4459
135,23,11,108.4260
136,23,14,153.5254
137,23,31,151.8258
138,23,32,132.0318
139,23,36,192.7943
140,23,41,186.2539
141,24,21,153.9939
142,24,25,12.8486
143,24,51,189.8258
144,24,54,137.5017
145,25,21,159.2253
146,25,24,12.8486
147,25,51,194.0191
148,25,54,124.6542
149,26,4,187.5740
150,26,5,139.5806
151,26,8,115.0763
152,26,14,132.8992
153,26,18,143.6580
154,26,36,89.9353
155,27,7,56.9844
156,27,38,135.8771
157,27,40,193.5297
158,27,43,181.1058
159,27,57,80.6898
160,28,12,68.3284
161,28,15,167.9646
162,28,16,75.1828
163,28,19,105.3962
164,28,20,142.2866
165,28,34,153.5762
166,28,35,56.9104
167,28,40,198.4008
168,29,13,25.2907
169,29,44,82.4104
170,29,53,159.6378
171,30,21,199.9212
172,30,22,162.7764
173,30,45,198.3077
174,30,46,171.9345
175,30,47,161.5927
176,30,51,168.3013
177,30,58,186.2796
178,31,11,97.0486
179,31,14,169.8826
180,31,23,151.8258
181,31,37,188.3487
182,31,41,45.2457
183,31,42,166.0692
184,31,47,195.7618
185,31,59,78.8032
186,32,23,132.0318
187,32,36,195.1647
188,32,40,191.7383
189,33,1,71.8966
190,33,6,29.1032
191,33,37,86.0648
192,33,42,141.8997
193,34,12,98.1839
194,34,28,153.5762
195,34,35,184.5240
196,35,12,118.4464
197,35,15,130.2902
198,35,16,21.9294
199,35,19,73.0885
200,35,20,106.3082
201,35,28,56.9104
202,35,34,184.5240
203,36,11,167.9946
204,36,14,103.3311
205,36,23,192.7943
206,36,26,89.9353
207,36,32,195.1647
208,37,1,25.4028
209,37,2,186.9943
210,37,6,107.6414
211,37,31,188.3487
212,37,33,86.0648
213,37,41,164.9783
214,37,42,81.2368
215,37,59,128.6762
216,38,3,184.2238
217,38,7,94.1179
218,38,22,124.5723
219,38,27,135.8771
220,38,43,166.5545
221,38,46,168.8500
222,38,55,189.5265
223,38,57,117.3334
224,38,58,154.9227
225,39,3,162.9504
226,39,17,38.6624
227,39,22,190.6340
228,39,45,104.8380
229,39,46,145.8581
230,39,50,94.5490
231,39,51,186.1944
232,39,55,170.1290
233,39,56,141.9680
234,39,58,160.5278
235,40,27,193.5297
236,40,28,198.4008
237,40,32,191.7383
238,40,43,108.0763
239,40,57,136.1659
240,41,1,186.6129
241,41,11,142.2937
242,41,23,186.2539
243,41,31,45.2457
244,41,37,164.9783
245,41,42,127.5538
246,41,47,165.5711
247,41,59,87.3609
248,42,1,105.9552
249,42,6,169.9030
250,42,31,166.0692
251,42,33,141.8997
252,42,37,81.2368
253,42,41,127.5538
254,42,54,162.6421
255,42,59,140.7076
256,43,7,194.8725
257,43,27,181.1058
258,43,38,166.5545
259,43,40,108.0763
260,43,57,100.5217
261,44,13,104.6672
262,44,29,82.4104
263,44,54,143.7174
264,45,17,112.8840
265,45,21,107.0266
266,45,30,198.3077
267,45,39,104.8380
268,45,46,178.1621
269,45,50,166.8740
270,45,51,82.7305
271,45,56,92.5499
272,45,58,199.7153
273,46,3,78.4715
274,46,17,107.2585
275,46,22,44.8680
276,46,30,171.9345
277,46,38,168.8500
278,46,39,145.8581
279,46,45,178.1621
280,46,55,92.2004
281,46,58,22.3369
282,47,30,161.5927
283,47,31,195.7618
284,47,41,165.5711
285,48,0,109.1564
286,48,10,182.1762
287,48,49,157.1628
288,49,0,48.2013
289,49,4,150.5265
290,49,5,199.3513
291,49,8,135.7974
292,49,18,134.3321
293,49,48,157.1628
294,50,17,130.5417
295,50,39,94.5490
296,50,45,166.8740
297,50,56,145.5640
298,51,17,187.2768
299,51,21,38.4087
300,51,24,189.8258
301,51,25,194.0191
302,51,30,168.3013
303,51,39,186.1944
304,51,45,82.7305
305,51,56,136.5596
306,52,2,145.0950
307,52,6,199.8293
308,53,6,197.9399
309,53,13,134.8275
310,53,29,159.6378
311,54,24,137.5017
312,54,25,124.6542
313,54,42,162.6421
314,54,44,143.7174
315,55,3,13.7438
316,55,17,138.0071
317,55,22,106.6525
318,55,38,189.5265
319,55,39,170.1290
320,55,46,92.2004
321,55,58,76.3272
322,56,17,170.4790
323,56,21,134.0016
324,56,39,141.9680
325,56,45,92.5499
326,56,50,145.5640
327,56,51,136.5596
328,57,7,101.3301
329,57,27,80.6898
330,57,38,117.3334
331,57,40,136.1659
332,57,43,100.5217
333,58,3,63.0251
334,58,17,121.9611
335,58,22,37.4459
336,58,30,186.2796
337,58,38,154.9227
338,58,39,160.5278
339,58,45,199.7153
340,58,46,22.3369
341,58,55,76.3272
342,59,1,141.1178
343,59,2,185.3101
344,59,11,130.6513
345,59,14,179.7386
346,59,31,78.8032
347,59,37,128.6762
348,59,41,87.3609
349,59,42,140.7076
