id,source,target,distance
0,0,4,150.3812
1,0,5,97.7088
2,0,12,162.2462
3,0,21,162.8388
4,0,34,110.7638
5,0,39,133.7555
6,0,42,108.1654
7,0,44,152.4083
8,0,54,188.7037
9,0,59,18.4094
10,1,5,169.0027
11,1,12,109.2445
12,1,17,95.2345
13,1,21,178.6654
14,1,22,181.7846
15,1,36,110.5233
16,1,41,69.3582
17,1,42,164.4021
18,2,14,89.6354
19,2,17,198.1851
20,2,23,112.7319
21,3,32,35.2994
22,3,51,183.7314
23,4,0,150.3812
24,4,12,91.5035
25,4,21,27.5262
26,4,42,56.3781
27,4,59,161.0821
28,5,0,97.7088
29,5,1,169.0027
30,5,12,162.9080
31,5,34,197.2444
32,5,36,124.6518
33,5,39,81.1669
34,5,42,145.5128
35,5,44,153.7650
36,5,45,178.0393
37,5,59,110.5795
38,6,7,88.6022
39,6,27,106.5866
40,6,35,146.0847
41,6,38,178.7818
42,6,49,75.8552
43,6,56,87.7317
44,7,6,88.6022
45,7,13,164.6857
46,7,24,172.4024
47,7,27,154.3676
48,7,35,118.3087
49,7,49,31.0758
50,7,56,119.3989
51,8,9,187.0107
52,8,11,65.7769
53,8,20,185.9719
54,8,25,124.1166
55,8,46,55.5480
56,8,53,137.3693
57,8,57,118.7942
58,9,8,187.0107
59,9,20,162.4396
60,9,43,132.9406
61,9,47,197.2397
62,9,53,61.0638
63,10,27,114.8832
64,10,29,145.6212
65,10,37,79.5648
66,10,38,76.0933
67,10,40,89.3206
68,10,48,197.9446
69,10,50,113.3288
70,10,52,88.4321
71,10,56,150.9222
72,11,8,65.7769
73,11,22,190.0281
74,11,25,116.9685
75,11,46,14.0959
76,11,53,181.6098
77,11,57,53.1747
78,12,0,162.2462
79,12,1,109.2445
80,12,4,91.5035
81,12,5,162.9080
82,12,21,69.7291
83,12,36,185.6488
84,12,41,154.1804
85,12,42,66.6637
86,12,59,179.2793
87,13,7,164.6857
88,13,24,89.7760
89,13,28,51.4273
90,13,35,112.1218
91,13,49,159.6524
92,14,2,89.6354
93,14,23,119.0220
94,15,29,145.7791
95,15,50,150.8665
96,15,55,59.2153
97,16,37,138.4502
98,16,48,33.2744
99,16,51,43.7605
100,16,52,145.6895
101,17,1,95.2345
102,17,2,198.1851
103,17,36,98.8185
104,17,41,97.0511
105,17,45,167.6891
106,18,26,184.7294
107,18,31,188.6844
108,18,33,131.4600
109,18,43,104.8840
110,18,58,87.5150
111,19,26,72.5972
112,19,30,9.4511
113,19,31,33.9978
114,19,33,80.7169
115,19,43,153.8280
116,19,47,164.1582
117,20,8,185.9719
118,20,9,162.4396
119,20,53,117.0086
120,21,0,162.8388
121,21,1,178.6654
122,21,4,27.5262
123,21,12,69.7291
124,21,42,57.6141
125,21,59,175.6308
126,22,1,181.7846
127,22,11,190.0281
128,22,41,125.4236
129,22,57,163.5338
130,23,2,112.7319
131,23,14,119.0220
132,23,25,173.5666
133,23,57,166.5342
134,24,7,172.4024
135,24,13,89.7760
136,24,28,82.0178
137,24,35,61.9229
138,24,49,151.8136
139,25,8,124.1166
140,25,11,116.9685
141,25,23,173.5666
142,25,46,106.7654
143,25,57,131.6670
144,26,18,184.7294
145,26,19,72.5972
146,26,30,79.4463
147,26,31,97.7683
148,26,33,56.5529
149,26,43,177.9234
150,26,58,199.2109
151,27,6,106.5866
152,27,7,154.3676
153,27,10,114.8832
154,27,37,182.9000
155,27,38,117.0432
156,27,40,100.3902
157,27,49,161.7751
158,27,52,199.5599
159,27,56,36.9542
160,28,13,51.4273
161,28,24,82.0178
162,28,35,129.6480
163,28,49,198.3219
164,29,10,145.6212
165,29,15,145.7791
166,29,37,196.9778
167,29,38,87.1611
168,29,50,95.4904
169,29,52,184.1604
170,29,55,189.6810
171,30,19,9.4511
172,30,26,79.4463
173,30,31,36.3310
174,30,33,90.1549
175,30,43,159.9526
176,30,47,158.8849
177,31,18,188.6844
178,31,19,33.9978
179,31,26,97.7683
180,31,30,36.3310
181,31,33,85.6528
182,31,43,126.4359
183,31,47,140.7326
184,32,3,35.2994
185,32,51,173.6850
186,33,18,131.4600
187,33,19,80.7169
188,33,26,56.5529
189,33,30,90.1549
190,33,31,85.6528
191,33,43,124.9947
192,33,58,162.0210
193,34,0,110.7638
194,34,5,197.2444
195,34,39,194.5588
196,34,42,196.8214
197,34,44,154.7507
198,34,54,158.0728
199,34,59,92.7986
200,35,6,146.0847
201,35,7,118.3087
202,35,13,112.1218
203,35,24,61.9229
204,35,28,129.6480
205,35,49,93.5637
206,36,1,110.5233
207,36,5,124.6518
208,36,12,185.6488
209,36,17,98.8185
210,36,39,172.6447
211,36,41,162.0831
212,36,45,103.2054
213,37,10,79.5648
214,37,16,138.4502
215,37,27,182.9000
216,37,29,196.9778
217,37,38,149.6315
218,37,40,111.4238
219,37,48,126.0100
220,37,50,124.3671
221,37,51,177.7378
222,37,52,27.8948
223,38,6,178.7818
224,38,10,76.0933
225,38,27,117.0432
226,38,29,87.1611
227,38,37,149.6315
228,38,40,149.8103
229,38,50,112.6753
230,38,52,149.1170
231,38,56,151.6273
232,39,0,133.7555
233,39,5,81.1669
234,39,34,194.5588
235,39,36,172.6447
236,39,44,87.9939
237,39,45,179.4066
238,39,54,141.0202
239,39,59,136.1325
240,40,10,89.3206
241,40,27,100.3902
242,40,37,111.4238
243,40,38,149.8103
244,40,48,175.6394
245,40,50,199.7587
246,40,52,136.6507
247,40,56,121.6436
248,41,1,69.3582
249,41,12,154.1804
250,41,17,97.0511
251,41,22,125.4236
252,41,36,162.0831
253,42,0,108.1654
254,42,1,164.4021
255,42,4,56.3781
256,42,5,145.5128
257,42,12,66.6637
258,42,21,57.6141
259,42,34,196.8214
260,42,59,122.7628
261,43,9,132.9406
262,43,18,104.8840
263,43,19,153.8280
264,43,26,177.9234
265,43,30,159.9526
266,43,31,126.4359
267,43,33,124.9947
268,43,47,192.3440
269,43,53,182.0191
270,43,58,188.2080
271,44,0,152.4083
272,44,5,153.7650
273,44,34,154.7507
274,44,39,87.9939
275,44,54,53.2611
276,44,59,143.6408
277,45,5,178.0393
278,45,17,167.6891
279,45,36,103.2054
280,45,39,179.4066
281,46,8,55.5480
282,46,11,14.0959
283,46,25,106.7654
284,46,53,179.3462
285,46,57,63.9243
286,47,9,197.2397
287,47,19,164.1582
288,47,30,158.8849
289,47,31,140.7326
290,47,43,192.3440
291,47,55,190.0582
292,48,10,197.9446
293,48,16,33.2744
294,48,37,126.0100
295,48,40,175.6394
296,48,51,74.1754
297,48,52,139.2753
298,49,6,75.8552
299,49,7,31.0758
300,49,13,159.6524
301,49,24,151.8136
302,49,27,161.7751
303,49,28,198.3219
304,49,35,93.5637
305,49,56,130.1072
306,50,10,113.3288
307,50,15,150.8665
308,50,29,95.4904
309,50,37,124.3671
310,50,38,112.6753
311,50,40,199.7587
312,50,52,103.1552
313,50,55,164.9596
314,51,3,183.7314
315,51,16,43.7605
316,51,32,173.6850
317,51,37,177.7378
318,51,48,74.1754
319,51,52,181.1048
320,52,10,88.4321
321,52,16,145.6895
322,52,27,199.5599
323,52,29,184.1604
324,52,37,27.8948
325,52,38,149.1170
326,52,40,136.6507
327,52,48,139.2753
328,52,50,103.1552
329,52,51,181.1048
330,53,8,137.3693
331,53,9,61.0638
332,53,11,181.6098
333,53,20,117.0086
334,53,43,182.0191
335,53,46,179.3462
336,54,0,188.7037
337,54,34,158.0728
338,54,39,141.0202
339,54,44,53.2611
340,54,59,176.2341
341,55,15,59.2153
342,55,29,189.6810
343,55,47,190.0582
344,55,50,164.9596
345,56,6,87.7317
346,56,7,119.3989
347,56,10,150.9222
348,56,27,36.9542
349,56,38,151.6273
350,56,40,121.6436
351,56,49,130.1072
352,57,8,118.7942
353,57,11,53.1747
354,57,22,163.5338
355,57,23,166.5342
356,57,25,131.6670
357,57,46,63.9243
358,58,18,87.5150
359,58,26,199.2109
360,58,33,162.0210
361,58,43,188.2080
362,59,0,18.4094
363,59,4,161.0821
364,59,5,110.5795
365,59,12,179.2793
366,59,21,175.6308
367,59,34,92.7986
368,59,39,136.1325
369,59,42,122.7628
370,59,44,143.6408
371,59,54,176.2341
