id,source,target,distance
0,0,1,191.0563
1,0,14,164.7678
2,0,23,120.3561
3,0,24,163.7062
4,0,31,94.3197
5,0,32,172.8413
6,0,39,147.8972
7,1,0,191.0563
8,1,5,190.5635
9,1,14,82.5526
10,1,23,82.7092
11,1,29,130.2141
12,1,30,182.3832
13,1,31,96.8833
14,1,32,54.5857
15,1,37,88.4110
16,1,39,52.2187
17,1,41,178.4521
18,1,42,62.7952
19,2,34,162.0515
20,2,35,180.1432
21,2,49,61.0282
22,2,51,191.2930
23,2,52,100.3523
24,3,6,33.5484
25,3,10,132.0253
26,3,18,81.1103
27,3,28,174.9619
28,4,20,61.1251
29,4,26,115.6886
30,4,28,110.7670
31,4,43,135.5191
32,4,45,146.9960
33,5,1,190.5635
34,5,16,39.5700
35,5,17,85.3981
36,5,19,195.8119
37,5,21,90.5695
38,5,25,108.3679
39,5,29,122.1621
40,5,30,151.7576
41,5,36,174.4977
42,5,37,108.9153
43,5,41,50.5244
44,5,42,161.9337
45,6,3,33.5484
46,6,10,144.8297
47,6,18,111.4043
48,6,28,141.6109
49,7,9,108.9571
50,7,11,171.8043
51,7,13,125.8208
52,7,22,108.6358
53,7,27,198.0626
54,7,38,77.7335
55,7,46,86.9919
56,8,59,105.2159
57,9,7,108.9571
58,9,13,34.3229
59,9,38,178.6995
60,9,46,193.6636
61,10,3,132.0253
62,10,6,144.8297
63,10,18,92.7700
64,11,7,171.8043
65,11,27,38.9718
66,11,30,167.8597
67,11,33,48.7887
68,11,36,182.1278
69,11,38,116.3276
70,11,40,152.9966
71,11,46,187.3850
72,11,58,169.1707
73,12,15,81.3567
74,12,47,117.9152
75,13,7,125.8208
76,13,9,34.3229
77,14,0,164.7678
78,14,1,82.5526
79,14,23,109.7511
80,14,24,122.3076
81,14,29,126.7615
82,14,31,86.4728
83,14,32,28.2503
84,14,37,122.7117
85,14,39,45.2259
86,14,42,68.6333
87,14,53,172.2867
88,14,57,184.0251
89,15,12,81.3567
90,15,47,183.4156
91,15,54,172.2779
92,16,5,39.5700
93,16,17,63.0299
94,16,21,55.9121
95,16,25,111.8887
96,16,29,155.2717
97,16,30,170.6910
98,16,36,181.1394
99,16,37,148.1337
100,16,41,72.6194
101,16,51,188.8215
