id,source,target,distance
0,0,4,33.2431
1,0,14,95.8952
2,0,50,80.5221
3,1,33,187.4731
4,1,50,195.5512
5,1,53,122.6472
6,1,54,174.9446
7,1,56,187.7909
8,2,10,146.3793
9,2,18,154.9131
10,2,22,169.0040
11,2,25,194.0653
12,2,26,173.8632
13,2,36,76.3031
14,2,40,154.7480
15,2,46,151.1993
16,2,47,103.1260
17,2,53,180.1665
18,2,54,112.8139
19,3,9,159.5705
20,4,0,33.2431
21,4,14,62.6700
22,4,33,175.6436
23,4,50,69.0253
24,5,7,137.5256
25,5,19,112.0571
26,5,25,185.9386
27,5,30,94.8769
28,5,34,103.3390
29,5,38,51.0224
30,5,44,190.8021
31,6,10,160.4087
32,6,11,155.4145
33,6,21,117.7487
34,6,23,199.3454
35,6,40,164.1791
36,6,49,111.7850
37,6,57,132.0427
38,7,5,137.5256
39,7,19,186.8225
40,7,20,141.9043
41,7,25,92.2157
42,7,30,187.4309
43,7,38,179.4773
44,7,39,91.4878
45,7,46,177.0817
46,7,51,148.7810
47,7,56,160.2963
48,8,23,136.7056
49,8,33,191.4000
50,8,37,125.9877
51,8,42,51.2423
52,8,43,127.6661
53,8,52,189.4442
54,9,3,159.5705
55,9,27,176.9900
56,9,32,187.8291
57,9,35,104.2819
58,10,2,146.3793
59,10,6,160.4087
60,10,26,104.6626
61,10,40,55.8785
62,10,41,199.9613
63,10,47,46.4413
64,10,49,191.0535
65,10,52,180.0806
66,10,57,175.8423
67,11,6,155.4145
68,11,21,50.2361
69,11,28,139.5658
70,11,45,178.8278
71,11,49,178.7456
72,12,17,67.3561
73,13,55,51.5037
74,14,0,95.8952
75,14,4,62.6700
76,14,33,113.5828
77,14,50,88.7878
78,15,16,84.0644
79,15,29,198.6052
80,15,31,135.7907
81,15,45,189.7428
82,16,15,84.0644
83,16,24,189.5146
84,16,29,151.0246
85,16,31,186.2654
86,17,12,67.3561
87,17,28,195.2012
88,18,2,154.9131
89,18,22,54.1001
90,18,25,146.1907
91,18,36,91.0065
92,18,44,176.8768
93,18,46,47.3818
94,19,5,112.0571
95,19,7,186.8225
96,19,30,24.4225
97,19,34,124.2880
98,19,38,146.7878
99,19,48,160.9288
100,19,59,164.8221
101,20,7,141.9043
102,20,25,111.0777
103,20,36,183.1728
104,20,39,50.4634
105,20,46,194.9497
106,20,51,187.4359
107,20,53,100.8542
108,20,54,126.4850
109,20,56,30.0857
110,21,6,117.7487
