id,source,target,demand
0,5,44,0.1747
1,22,42,0.4203
2,11,20,0.1441
3,28,7,0.1392
4,52,16,0.3809
5,37,28,0.2467
6,3,22,0.4841
7,19,31,0.2537
8,29,13,0.1274
9,47,58,0.3204
10,56,31,0.2713
11,34,32,0.3413
12,39,28,1.4453
13,17,20,1.8186
14,40,57,0.3545
15,32,58,0.3756
16,57,41,0.2639
17,25,20,0.3560
18,52,40,0.3855
19,52,42,0.4928
20,26,52,0.3074
21,30,57,0.1930
22,28,48,0.3615
23,16,52,0.1573
24,36,28,0.3083
25,38,55,1.4468
26,59,33,0.1184
27,29,6,0.1965
28,39,26,0.1080
29,35,39,1.9635
30,18,33,0.2208
31,45,21,0.3557
32,25,47,0.2875
33,35,18,0.3736
34,18,35,0.4761
35,34,44,0.4798
36,2,36,0.3373
37,5,24,0.4452
38,47,13,1.7591
39,51,11,1.5358
