id,source,target,distance
0,0,5,150.5671
1,0,6,152.4137
2,0,12,52.3756
3,0,33,20.9949
4,0,45,144.5015
5,0,52,142.2133
6,0,55,123.9442
7,0,59,192.1413
8,1,6,190.6241
9,1,17,170.2688
10,1,23,151.1729
11,1,25,81.4129
12,1,29,120.3780
13,1,31,48.7257
14,1,32,62.0353
15,1,44,175.5655
16,1,52,196.7805
17,1,54,78.4310
18,1,55,185.7033
19,2,4,150.4978
20,2,16,140.3441
21,2,40,118.9598
22,3,13,80.8518
23,3,15,180.6751
24,3,26,116.9330
25,3,30,112.0916
26,3,39,184.4414
27,3,46,121.4376
28,3,51,152.3191
29,4,2,150.4978
30,4,16,53.8986
31,4,40,52.3075
32,4,43,60.9957
33,4,48,127.3272
34,4,50,94.1036
35,4,56,141.6629
36,5,0,150.5671
37,5,12,135.6927
38,5,15,168.4695
39,5,21,110.2721
40,5,27,157.1795
41,5,33,140.0487
42,5,45,56.6993
43,5,59,94.0839
44,6,0,152.4137
45,6,1,190.6241
46,6,12,150.9175
47,6,31,191.3588
48,6,33,152.2796
49,6,50,153.0301
50,6,52,10.2116
51,6,55,67.5631
52,6,56,157.9885
53,7,10,60.1977
54,7,20,77.0958
55,7,21,194.3268
56,7,36,197.5412
57,7,59,162.7542
58,8,9,188.9321
59,8,22,177.2861
60,8,24,90.9987
61,8,34,102.4022
62,8,47,181.8815
63,9,8,188.9321
64,9,22,87.5542
65,10,7,60.1977
66,10,20,136.0375
67,10,21,194.8287
68,10,36,151.3610
69,12,0,52.3756
70,12,5,135.6927
71,12,6,150.9175
72,12,33,31.6585
73,12,45,149.9462
74,12,52,141.5342
75,12,55,145.9173
76,12,59,152.1761
77,13,3,80.8518
78,13,15,185.1797
79,13,22,193.4323
80,13,26,191.4095
81,13,27,194.8745
82,13,30,105.1968
83,13,46,174.1116
84,13,51,91.0941
85,14,17,87.9437
86,14,18,113.9014
87,14,23,89.4214
88,14,28,45.3053
89,14,32,172.3145
90,14,35,126.8990
91,14,54,185.0855
92,15,3,180.6751
93,15,5,168.4695
94,15,13,185.1797
95,15,19,198.8849
96,15,21,168.7580
97,15,26,178.4115
98,15,27,36.3895
99,15,39,166.1391
100,15,45,122.4324
101,16,2,140.3441
102,16,4,53.8986
103,16,40,22.4582
104,16,43,99.5233
105,16,48,175.4495
106,16,50,106.2824
107,16,56,169.9840
108,17,1,170.2688
109,17,14,87.9437
110,17,18,172.3218
111,17,23,28.0239
112,17,25,185.9281
113,17,28,93.7953
114,17,29,162.1642
115,17,31,166.5303
116,17,32,112.1057
117,17,54,105.3638
118,18,14,113.9014
119,18,17,172.3218
120,18,23,154.8534
121,18,25,193.4553
122,18,28,157.3320
123,18,32,192.4561
124,18,35,47.8133
125,18,44,179.1930
126,19,15,198.8849
127,19,21,141.8018
128,19,26,154.2125
129,19,36,115.8014
130,19,39,76.0834
