id,source,target,demand
0,52,3,0.4958
1,19,24,0.2948
2,13,20,0.4912
3,50,17,0.1307
4,53,21,0.2147
5,19,38,1.5997
6,23,58,0.2353
7,35,26,0.3454
8,40,23,0.4463
9,49,44,0.2155
10,0,16,0.2643
11,7,2,0.4068
12,28,6,0.2022
13,49,56,0.4832
14,57,54,0.1076
15,46,14,0.2230
16,45,1,1.7809
17,27,36,1.4776
18,43,5,0.4708
19,18,30,0.2871
20,46,32,1.6372
21,22,32,0.2728
22,12,18,0.4324
23,0,18,0.3961
24,8,21,0.2969
25,28,52,0.2518
26,38,23,0.4575
27,10,39,0.4572
28,36,17,0.4635
29,55,22,0.1341
