id,source,target,demand
0,7,4,0.3813
1,7,59,1.3123
2,16,9,0.2714
3,51,28,0.2272
4,21,2,0.3477
5,6,49,0.2743
6,38,3,1.0962
7,59,11,1.9584
8,54,37,0.3850
9,6,20,0.4777
10,21,24,0.1939
11,30,46,1.7956
12,31,51,0.4126
13,21,39,0.2986
14,48,24,0.2791
15,10,59,0.4577
16,21,42,0.1128
17,26,4,0.1079
18,28,5,0.1362
19,39,28,0.4847
20,5,19,0.4643
21,47,43,0.4531
22,38,42,0.1707
23,51,4,0.1489
24,14,45,0.2406
25,42,34,0.1264
26,37,10,0.2791
27,37,50,0.3408
28,50,41,0.4369
29,46,7,0.1765
30,32,47,0.4907
31,32,56,0.2642
32,49,51,0.4560
33,49,44,0.3941
34,36,10,1.5114
