id,source,target,demand
0,29,30,0.3857
1,11,31,1.7112
2,26,4,0.2340
3,41,28,1.7478
4,46,57,0.3887
5,2,7,0.4762
6,51,21,0.2022
7,45,27,0.2073
8,17,9,0.3694
9,58,52,0.3819
10,20,5,0.4239
11,8,33,0.1949
12,52,35,1.8553
13,58,3,1.5845
14,35,40,0.4230
15,20,50,0.3003
16,17,0,0.1574
17,51,28,0.3359
18,34,44,0.1596
19,20,36,0.2061
20,38,29,0.1269
21,21,3,0.1105
22,48,23,1.3599
23,26,27,0.4174
24,52,50,1.8646
25,33,31,0.4067
26,31,53,0.3858
27,57,4,0.1317
28,5,8,0.3939
29,16,26,0.4529
30,24,9,1.9879
31,46,3,0.2607
32,54,24,0.4079
33,3,29,0.2976
34,32,21,0.1256
35,29,7,0.4250
36,39,53,0.2123
37,44,11,0.2927
38,49,14,0.1803
39,35,44,0.3239
40,38,14,0.1208
41,55,31,0.3947
42,15,8,0.4523
43,19,57,0.3725
44,31,7,1.5315
