id,source,target,distance
0,0,17,138.9128
1,0,32,105.5176
2,0,40,180.4444
3,0,47,139.5077
4,0,53,188.8501
5,0,54,168.7853
6,0,84,168.5219
7,0,90,195.1724
8,0,94,42.6364
9,0,100,167.7371
10,0,105,104.1157
11,0,109,188.7776
12,0,112,130.6861
13,0,115,157.7564
14,0,117,196.9509
15,0,122,110.3811
16,0,127,64.1805
17,0,132,116.1139
18,0,134,83.7877
19,0,137,130.3241
20,1,11,172.6799
21,1,24,187.3504
22,1,26,192.9716
23,1,30,183.6249
24,1,33,119.1668
25,1,35,96.4567
26,1,46,138.6920
27,1,49,109.3772
28,1,57,127.8265
29,1,58,98.0048
30,1,63,75.4702
31,1,64,113.1851
32,1,65,18.5530
33,1,70,180.0017
34,1,73,199.4047
35,1,76,169.5723
36,1,93,184.5740
37,1,96,87.3362
38,1,98,161.4305
39,1,107,159.7726
40,1,110,161.4620
41,1,136,135.6750
42,1,138,148.1086
43,2,9,168.8636
44,2,14,56.6386
45,2,22,97.5620
46,2,24,130.4927
47,2,26,154.9279
48,2,30,134.3061
49,2,46,177.9994
50,2,51,17.1564
51,2,70,133.6018
52,2,97,169.4405
53,2,107,159.0912
54,2,136,197.8974
55,3,6,69.2160
56,3,8,163.1118
57,3,16,142.0273
58,3,20,151.1352
59,3,21,136.0602
60,3,27,138.0842
61,3,48,158.6161
62,3,59,48.9662
63,3,60,24.8683
64,3,66,183.0100
65,3,71,45.6504
66,3,74,169.0115
67,3,117,184.4878
68,3,121,187.2766
69,3,128,75.1494
70,4,6,182.6657
71,4,8,173.9140
72,4,16,129.4981
73,4,21,185.8375
74,4,34,140.5072
75,4,50,150.1900
76,4,74,83.4070
77,4,126,68.4870
78,4,128,182.2167
79,4,129,182.2557
80,5,18,26.4998
81,5,43,131.4940
82,5,45,105.6640
83,5,52,104.6386
84,5,62,100.4612
85,5,73,174.5761
86,5,75,196.9910
87,5,78,145.1692
88,5,81,147.0233
89,5,82,162.0597
90,5,113,192.8739
91,5,114,60.5495
92,5,125,11.0326
